,a,b,c,d,e,f,X,Y,Sum_Total,Sum_ml,slots_usage
127,0,0,24,0,30,3,1128,312,57,1440,3
128,0,0,24,1,6,30,840,312,61,1152,4
129,0,0,24,1,10,21,840,312,56,1152,4
130,0,0,24,1,14,12,840,312,51,1152,4
131,0,0,24,1,14,21,984,312,60,1296,4
132,0,0,24,1,18,3,840,312,46,1152,4
133,0,0,24,1,18,12,984,312,55,1296,4
134,0,0,24,1,18,21,1128,312,64,1440,4
135,0,0,24,1,22,3,984,312,50,1296,4
136,0,0,24,1,22,12,1128,312,59,1440,4
137,0,0,24,1,26,3,1128,312,54,1440,4
138,0,0,24,2,2,30,840,312,58,1152,4
139,0,0,24,2,6,21,840,312,53,1152,4
140,0,0,24,2,6,30,984,312,62,1296,4
141,0,0,24,2,10,12,840,312,48,1152,4
142,0,0,24,2,10,21,984,312,57,1296,4
143,0,0,24,2,14,3,840,312,43,1152,4
144,0,0,24,2,14,12,984,312,52,1296,4
145,0,0,24,2,14,21,1128,312,61,1440,4
146,0,0,24,2,18,3,984,312,47,1296,4
147,0,0,24,2,18,12,1128,312,56,1440,4
148,0,0,24,2,22,3,1128,312,51,1440,4
149,0,0,24,3,2,21,840,312,50,1152,4
150,0,0,24,3,2,30,984,312,59,1296,4
151,0,0,24,3,6,12,840,312,45,1152,4
152,0,0,24,3,6,21,984,312,54,1296,4
153,0,0,24,3,6,30,1128,312,63,1440,4
154,0,0,24,3,10,3,840,312,40,1152,4
155,0,0,24,3,10,12,984,312,49,1296,4
156,0,0,24,3,10,21,1128,312,58,1440,4
157,0,0,24,3,14,3,984,312,44,1296,4
158,0,0,24,3,14,12,1128,312,53,1440,4
159,0,0,24,3,18,3,1128,312,48,1440,4
160,0,0,24,4,2,12,840,312,42,1152,4
161,0,0,24,4,2,21,984,312,51,1296,4
162,0,0,24,4,2,30,1128,312,60,1440,4
163,0,0,24,4,6,3,840,312,37,1152,4
164,0,0,24,4,6,12,984,312,46,1296,4
165,0,0,24,4,6,21,1128,312,55,1440,4
166,0,0,24,4,10,3,984,312,41,1296,4
167,0,0,24,4,10,12,1128,312,50,1440,4
168,0,0,24,4,14,3,1128,312,45,1440,4
169,0,0,24,5,2,3,840,312,34,1152,4
170,0,0,24,5,2,12,984,312,43,1296,4
171,0,0,24,5,2,21,1128,312,52,1440,4
172,0,0,24,5,6,3,984,312,38,1296,4
173,0,0,24,5,6,12,1128,312,47,1440,4
174,0,0,24,5,10,3,1128,312,42,1440,4
175,0,0,24,6,2,3,984,312,35,1296,4
176,0,0,24,6,2,12,1128,312,44,1440,4
177,0,0,24,6,6,3,1128,312,39,1440,4
178,0,0,24,7,2,3,1128,312,36,1440,4
179,0,0,28,0,21,11,932,364,60,1296,3
180,0,0,28,0,25,2,932,364,55,1296,3
181,0,0,28,0,25,11,1076,364,64,1440,3
182,0,0,28,0,29,2,1076,364,59,1440,3
183,0,0,28,0,33,2,1220,364,63,1584,3
184,0,0,28,1,13,20,932,364,62,1296,4
185,0,0,28,1,17,11,932,364,57,1296,4
186,0,0,28,1,21,2,932,364,52,1296,4
187,0,0,28,1,21,11,1076,364,61,1440,4
188,0,0,28,1,25,2,1076,364,56,1440,4
189,0,0,28,1,29,2,1220,364,60,1584,4
190,0,0,28,1,33,2,1364,364,64,1728,4
191,0,0,28,2,5,29,932,364,64,1296,4
192,0,0,28,2,9,20,932,364,59,1296,4
193,0,0,28,2,13,11,932,364,54,1296,4
194,0,0,28,2,13,20,1076,364,63,1440,4
195,0,0,28,2,17,2,932,364,49,1296,4
196,0,0,28,2,17,11,1076,364,58,1440,4
197,0,0,28,2,21,2,1076,364,53,1440,4
198,0,0,28,2,21,11,1220,364,62,1584,4
199,0,0,28,2,25,2,1220,364,57,1584,4
200,0,0,28,2,29,2,1364,364,61,1728,4
201,0,0,28,3,1,29,932,364,61,1296,4
202,0,0,28,3,5,20,932,364,56,1296,4
203,0,0,28,3,9,11,932,364,51,1296,4
204,0,0,28,3,9,20,1076,364,60,1440,4
205,0,0,28,3,13,2,932,364,46,1296,4
206,0,0,28,3,13,11,1076,364,55,1440,4
207,0,0,28,3,13,20,1220,364,64,1584,4
208,0,0,28,3,17,2,1076,364,50,1440,4
209,0,0,28,3,17,11,1220,364,59,1584,4
210,0,0,28,3,21,2,1220,364,54,1584,4
211,0,0,28,3,21,11,1364,364,63,1728,4
212,0,0,28,3,25,2,1364,364,58,1728,4
213,0,0,28,4,1,20,932,364,53,1296,4
214,0,0,28,4,1,29,1076,364,62,1440,4
215,0,0,28,4,5,11,932,364,48,1296,4
216,0,0,28,4,5,20,1076,364,57,1440,4
217,0,0,28,4,9,2,932,364,43,1296,4
218,0,0,28,4,9,11,1076,364,52,1440,4
219,0,0,28,4,9,20,1220,364,61,1584,4
220,0,0,28,4,13,2,1076,364,47,1440,4
221,0,0,28,4,13,11,1220,364,56,1584,4
222,0,0,28,4,17,2,1220,364,51,1584,4
223,0,0,28,4,17,11,1364,364,60,1728,4
224,0,0,28,4,21,2,1364,364,55,1728,4
225,0,0,28,5,1,11,932,364,45,1296,4
226,0,0,28,5,1,20,1076,364,54,1440,4
227,0,0,28,5,1,29,1220,364,63,1584,4
228,0,0,28,5,5,2,932,364,40,1296,4
229,0,0,28,5,5,11,1076,364,49,1440,4
230,0,0,28,5,5,20,1220,364,58,1584,4
231,0,0,28,5,9,2,1076,364,44,1440,4
232,0,0,28,5,9,11,1220,364,53,1584,4
233,0,0,28,5,9,20,1364,364,62,1728,4
234,0,0,28,5,13,2,1220,364,48,1584,4
235,0,0,28,5,13,11,1364,364,57,1728,4
236,0,0,28,5,17,2,1364,364,52,1728,4
237,0,0,28,6,1,2,932,364,37,1296,4
238,0,0,28,6,1,11,1076,364,46,1440,4
239,0,0,28,6,1,20,1220,364,55,1584,4
240,0,0,28,6,1,29,1364,364,64,1728,4
241,0,0,28,6,5,2,1076,364,41,1440,4
242,0,0,28,6,5,11,1220,364,50,1584,4
243,0,0,28,6,5,20,1364,364,59,1728,4
244,0,0,28,6,9,2,1220,364,45,1584,4
245,0,0,28,6,9,11,1364,364,54,1728,4
246,0,0,28,6,13,2,1364,364,49,1728,4
247,0,0,28,7,1,2,1076,364,38,1440,4
248,0,0,28,7,1,11,1220,364,47,1584,4
249,0,0,28,7,1,20,1364,364,56,1728,4
250,0,0,28,7,5,2,1220,364,42,1584,4
251,0,0,28,7,5,11,1364,364,51,1728,4
252,0,0,28,7,9,2,1364,364,46,1728,4
253,0,0,28,8,1,2,1220,364,39,1584,4
254,0,0,28,8,1,11,1364,364,48,1728,4
255,0,0,28,8,5,2,1364,364,43,1728,4
256,0,0,28,9,1,2,1364,364,40,1728,4
257,0,0,32,0,28,1,1024,416,61,1440,3
258,0,0,32,1,20,10,1024,416,63,1440,4
259,0,0,32,1,24,1,1024,416,58,1440,4
260,0,0,32,1,28,1,1168,416,62,1584,4
261,0,0,32,2,16,10,1024,416,60,1440,4
262,0,0,32,2,20,1,1024,416,55,1440,4
263,0,0,32,2,20,10,1168,416,64,1584,4
264,0,0,32,2,24,1,1168,416,59,1584,4
265,0,0,32,2,28,1,1312,416,63,1728,4
266,0,0,32,3,8,19,1024,416,62,1440,4
267,0,0,32,3,12,10,1024,416,57,1440,4
268,0,0,32,3,16,1,1024,416,52,1440,4
269,0,0,32,3,16,10,1168,416,61,1584,4
270,0,0,32,3,20,1,1168,416,56,1584,4
271,0,0,32,3,24,1,1312,416,60,1728,4
272,0,0,32,3,28,1,1456,416,64,1872,4
273,0,0,32,4,0,28,1024,416,64,1440,3
274,0,0,32,4,4,19,1024,416,59,1440,4
275,0,0,32,4,8,10,1024,416,54,1440,4
276,0,0,32,4,8,19,1168,416,63,1584,4
277,0,0,32,4,12,1,1024,416,49,1440,4
278,0,0,32,4,12,10,1168,416,58,1584,4
279,0,0,32,4,16,1,1168,416,53,1584,4
280,0,0,32,4,16,10,1312,416,62,1728,4
281,0,0,32,4,20,1,1312,416,57,1728,4
282,0,0,32,4,24,1,1456,416,61,1872,4
283,0,0,32,5,0,19,1024,416,56,1440,3
284,0,0,32,5,4,10,1024,416,51,1440,4
285,0,0,32,5,4,19,1168,416,60,1584,4
286,0,0,32,5,8,1,1024,416,46,1440,4
287,0,0,32,5,8,10,1168,416,55,1584,4
288,0,0,32,5,8,19,1312,416,64,1728,4
289,0,0,32,5,12,1,1168,416,50,1584,4
290,0,0,32,5,12,10,1312,416,59,1728,4
291,0,0,32,5,16,1,1312,416,54,1728,4
292,0,0,32,5,16,10,1456,416,63,1872,4
293,0,0,32,5,20,1,1456,416,58,1872,4
294,0,0,32,5,24,1,1600,416,62,2016,4
295,0,0,32,6,0,10,1024,416,48,1440,3
296,0,0,32,6,0,19,1168,416,57,1584,3
297,0,0,32,6,4,1,1024,416,43,1440,4
298,0,0,32,6,4,10,1168,416,52,1584,4
299,0,0,32,6,4,19,1312,416,61,1728,4
300,0,0,32,6,8,1,1168,416,47,1584,4
301,0,0,32,6,8,10,1312,416,56,1728,4
302,0,0,32,6,12,1,1312,416,51,1728,4
303,0,0,32,6,12,10,1456,416,60,1872,4
304,0,0,32,6,16,1,1456,416,55,1872,4
305,0,0,32,6,16,10,1600,416,64,2016,4
306,0,0,32,6,20,1,1600,416,59,2016,4
307,0,0,32,7,0,1,1024,416,40,1440,3
308,0,0,32,7,0,10,1168,416,49,1584,3
309,0,0,32,7,0,19,1312,416,58,1728,3
310,0,0,32,7,4,1,1168,416,44,1584,4
311,0,0,32,7,4,10,1312,416,53,1728,4
312,0,0,32,7,4,19,1456,416,62,1872,4
313,0,0,32,7,8,1,1312,416,48,1728,4
314,0,0,32,7,8,10,1456,416,57,1872,4
315,0,0,32,7,12,1,1456,416,52,1872,4
316,0,0,32,7,12,10,1600,416,61,2016,4
317,0,0,32,7,16,1,1600,416,56,2016,4
318,0,0,32,8,0,1,1168,416,41,1584,3
319,0,0,32,8,0,10,1312,416,50,1728,3
320,0,0,32,8,0,19,1456,416,59,1872,3
321,0,0,32,8,4,1,1312,416,45,1728,4
322,0,0,32,8,4,10,1456,416,54,1872,4
323,0,0,32,8,4,19,1600,416,63,2016,4
324,0,0,32,8,8,1,1456,416,49,1872,4
325,0,0,32,8,8,10,1600,416,58,2016,4
326,0,0,32,8,12,1,1600,416,53,2016,4
327,0,0,32,9,0,1,1312,416,42,1728,3
328,0,0,32,9,0,10,1456,416,51,1872,3
329,0,0,32,9,0,19,1600,416,60,2016,3
330,0,0,32,9,4,1,1456,416,46,1872,4
331,0,0,32,9,4,10,1600,416,55,2016,4
332,0,0,32,9,8,1,1600,416,50,2016,4
333,0,0,32,10,0,1,1456,416,43,1872,3
334,0,0,32,10,0,10,1600,416,52,2016,3
335,0,0,32,10,4,1,1600,416,47,2016,4
336,0,0,32,11,0,1,1600,416,44,2016,3
337,0,0,36,1,27,0,1116,468,64,1584,3
338,0,0,36,2,23,0,1116,468,61,1584,3
339,0,0,36,3,15,9,1116,468,63,1584,4
340,0,0,36,3,19,0,1116,468,58,1584,3
341,0,0,36,3,23,0,1260,468,62,1728,3
342,0,0,36,4,11,9,1116,468,60,1584,4
343,0,0,36,4,15,0,1116,468,55,1584,3
344,0,0,36,4,15,9,1260,468,64,1728,4
345,0,0,36,4,19,0,1260,468,59,1728,3
346,0,0,36,4,23,0,1404,468,63,1872,3
347,0,0,36,5,3,18,1116,468,62,1584,4
348,0,0,36,5,7,9,1116,468,57,1584,4
349,0,0,36,5,11,0,1116,468,52,1584,3
350,0,0,36,5,11,9,1260,468,61,1728,4
351,0,0,36,5,15,0,1260,468,56,1728,3
352,0,0,36,5,19,0,1404,468,60,1872,3
353,0,0,36,5,23,0,1548,468,64,2016,3
354,0,0,36,6,3,9,1116,468,54,1584,4
355,0,0,36,6,3,18,1260,468,63,1728,4
356,0,0,36,6,7,0,1116,468,49,1584,3
357,0,0,36,6,7,9,1260,468,58,1728,4
358,0,0,36,6,11,0,1260,468,53,1728,3
359,0,0,36,6,11,9,1404,468,62,1872,4
360,0,0,36,6,15,0,1404,468,57,1872,3
361,0,0,36,6,19,0,1548,468,61,2016,3
362,0,0,36,7,3,0,1116,468,46,1584,3
363,0,0,36,7,3,9,1260,468,55,1728,4
364,0,0,36,7,3,18,1404,468,64,1872,4
365,0,0,36,7,7,0,1260,468,50,1728,3
366,0,0,36,7,7,9,1404,468,59,1872,4
367,0,0,36,7,11,0,1404,468,54,1872,3
368,0,0,36,7,11,9,1548,468,63,2016,4
369,0,0,36,7,15,0,1548,468,58,2016,3
370,0,0,36,7,19,0,1692,468,62,2160,3
371,0,0,36,8,3,0,1260,468,47,1728,3
372,0,0,36,8,3,9,1404,468,56,1872,4
373,0,0,36,8,7,0,1404,468,51,1872,3
374,0,0,36,8,7,9,1548,468,60,2016,4
375,0,0,36,8,11,0,1548,468,55,2016,3
376,0,0,36,8,11,9,1692,468,64,2160,4
377,0,0,36,8,15,0,1692,468,59,2160,3
378,0,0,36,8,19,0,1836,468,63,2304,3
379,0,0,36,9,3,0,1404,468,48,1872,3
380,0,0,36,9,3,9,1548,468,57,2016,4
381,0,0,36,9,7,0,1548,468,52,2016,3
382,0,0,36,9,7,9,1692,468,61,2160,4
383,0,0,36,9,11,0,1692,468,56,2160,3
384,0,0,36,9,15,0,1836,468,60,2304,3
385,0,0,36,10,3,0,1548,468,49,2016,3
386,0,0,36,10,3,9,1692,468,58,2160,4
387,0,0,36,10,7,0,1692,468,53,2160,3
388,0,0,36,10,7,9,1836,468,62,2304,4
389,0,0,36,10,11,0,1836,468,57,2304,3
390,0,0,36,11,3,0,1692,468,50,2160,3
391,0,0,36,11,3,9,1836,468,59,2304,4
392,0,0,36,11,7,0,1836,468,54,2304,3
393,0,0,36,12,3,0,1836,468,51,2304,3
394,0,0,40,6,10,8,1352,520,64,1872,4
395,0,0,40,7,6,8,1352,520,61,1872,4
396,0,0,40,8,2,8,1352,520,58,1872,4
397,0,0,40,8,6,8,1496,520,62,2016,4
398,0,0,40,9,2,8,1496,520,59,2016,4
399,0,0,40,9,6,8,1640,520,63,2160,4
400,0,0,40,10,2,8,1640,520,60,2160,4
401,0,0,40,10,6,8,1784,520,64,2304,4
402,0,0,40,11,2,8,1784,520,61,2304,4
403,0,0,40,12,2,8,1928,520,62,2448,4
404,0,0,40,13,2,8,2072,520,63,2592,4
405,0,0,44,8,5,7,1444,572,64,2016,4
406,0,0,44,9,1,7,1444,572,61,2016,4
407,0,0,44,10,1,7,1588,572,62,2160,4
408,0,0,44,11,1,7,1732,572,63,2304,4
409,0,0,44,12,1,7,1876,572,64,2448,4
410,0,0,48,10,0,6,1536,624,64,2160,3
411,0,1,5,0,0,21,336,96,27,432,3
412,0,1,5,0,4,12,336,96,22,432,4
413,0,1,5,0,8,3,336,96,17,432,4
414,0,1,5,1,0,12,336,96,19,432,4
415,0,1,5,2,0,3,336,96,11,432,4
416,0,1,9,0,3,20,428,148,33,576,4
417,0,1,9,0,3,29,572,148,42,720,4
418,0,1,9,0,7,11,428,148,28,576,4
419,0,1,9,0,7,20,572,148,37,720,4
420,0,1,9,0,11,2,428,148,23,576,4
421,0,1,9,0,11,11,572,148,32,720,4
422,0,1,9,0,15,2,572,148,27,720,4
423,0,1,13,0,2,28,520,200,44,720,4
424,0,1,13,0,2,37,664,200,53,864,4
425,0,1,13,0,6,19,520,200,39,720,4
426,0,1,13,0,6,28,664,200,48,864,4
427,0,1,13,0,10,10,520,200,34,720,4
428,0,1,13,0,10,19,664,200,43,864,4
429,0,1,13,0,14,1,520,200,29,720,4
430,0,1,13,0,14,10,664,200,38,864,4
431,0,1,13,0,18,1,664,200,33,864,4
432,0,1,17,0,1,36,612,252,55,864,4
433,0,1,17,0,1,45,756,252,64,1008,4
434,0,1,17,0,5,27,612,252,50,864,4
435,0,1,17,0,5,36,756,252,59,1008,4
436,0,1,17,0,9,18,612,252,45,864,4
437,0,1,17,0,9,27,756,252,54,1008,4
438,0,1,17,0,9,36,900,252,63,1152,4
439,0,1,17,0,13,9,612,252,40,864,4
440,0,1,17,0,13,18,756,252,49,1008,4
441,0,1,17,0,13,27,900,252,58,1152,4
442,0,1,17,0,17,0,612,252,35,864,3
443,0,1,17,0,17,9,756,252,44,1008,4
444,0,1,17,0,17,18,900,252,53,1152,4
445,0,1,17,0,21,0,756,252,39,1008,3
446,0,1,17,0,21,9,900,252,48,1152,4
447,0,1,17,0,25,0,900,252,43,1152,3
448,0,1,17,1,13,0,612,252,32,864,4
449,0,1,17,1,17,0,756,252,36,1008,4
450,0,1,17,1,21,0,900,252,40,1152,4
451,0,1,17,2,9,0,612,252,29,864,4
452,0,1,17,2,13,0,756,252,33,1008,4
453,0,1,17,2,17,0,900,252,37,1152,4
454,0,1,17,3,5,0,612,252,26,864,4
455,0,1,17,3,9,0,756,252,30,1008,4
456,0,1,17,3,13,0,900,252,34,1152,4
457,0,1,17,4,1,0,612,252,23,864,4
458,0,1,17,4,5,0,756,252,27,1008,4
459,0,1,17,4,9,0,900,252,31,1152,4
460,0,1,17,5,1,0,756,252,24,1008,4
461,0,1,17,5,5,0,900,252,28,1152,4
462,0,1,17,6,1,0,900,252,25,1152,4
463,0,1,21,0,12,26,848,304,60,1152,4
464,0,1,21,0,16,17,848,304,55,1152,4
465,0,1,21,0,16,26,992,304,64,1296,4
466,0,1,21,0,20,8,848,304,50,1152,4
467,0,1,21,0,20,17,992,304,59,1296,4
468,0,1,21,0,24,8,992,304,54,1296,4
469,0,1,21,0,24,17,1136,304,63,1440,4
470,0,1,21,0,28,8,1136,304,58,1440,4
471,0,1,21,2,0,35,848,304,59,1152,4
472,0,1,21,3,0,26,848,304,51,1152,4
473,0,1,21,3,0,35,992,304,60,1296,4
474,0,1,21,4,0,17,848,304,43,1152,4
475,0,1,21,4,0,26,992,304,52,1296,4
476,0,1,21,4,0,35,1136,304,61,1440,4
477,0,1,21,5,0,8,848,304,35,1152,4
478,0,1,21,5,0,17,992,304,44,1296,4
479,0,1,21,5,0,26,1136,304,53,1440,4
480,0,1,21,6,0,8,992,304,36,1296,4
481,0,1,21,6,0,17,1136,304,45,1440,4
482,0,1,21,7,0,8,1136,304,37,1440,4
483,0,1,25,0,19,16,940,356,61,1296,4
484,0,1,25,0,23,7,940,356,56,1296,4
485,0,1,25,0,27,7,1084,356,60,1440,4
486,0,1,25,0,31,7,1228,356,64,1584,4
487,0,1,29,0,26,6,1032,408,62,1440,4
488,0,1,37,7,0,13,1216,512,58,1728,4
489,0,1,37,8,0,4,1216,512,50,1728,4
490,0,1,37,8,0,13,1360,512,59,1872,4
