,a,b,c,d,e,f,X,Y,Sum_Total,Sum_ml,slots_usage
128,0,4,0,0,1,17,308,124,22,432,4
129,0,4,0,0,1,26,452,124,31,576,4
130,0,4,0,0,5,8,308,124,17,432,3
131,0,4,0,0,5,17,452,124,26,576,4
132,0,4,0,0,9,8,452,124,21,576,3
133,0,4,0,1,1,8,308,124,14,432,4
134,0,4,0,1,5,8,452,124,18,576,4
135,0,4,0,2,1,8,452,124,15,576,4
136,0,4,4,0,8,16,544,176,32,720,4
137,0,4,4,0,12,7,544,176,27,720,4
138,0,4,4,0,12,16,688,176,36,864,4
139,0,4,4,0,16,7,688,176,31,864,4
140,0,4,4,2,0,16,544,176,26,720,4
141,0,4,4,3,0,7,544,176,18,720,4
142,0,4,4,3,0,16,688,176,27,864,4
143,0,4,4,4,0,7,688,176,19,864,4
144,0,4,8,0,11,15,636,228,38,864,4
145,0,4,8,0,15,6,636,228,33,864,4
146,0,4,8,0,15,15,780,228,42,1008,4
147,0,4,12,0,14,14,728,280,44,1008,4
148,0,5,1,0,6,12,408,168,24,576,4
149,0,5,1,0,10,3,408,168,19,576,4
150,0,5,1,0,10,12,552,168,28,720,4
151,0,5,1,0,14,3,552,168,23,720,4
152,0,5,5,0,13,11,644,220,34,864,4
153,0,5,9,0,16,10,736,272,40,1008,4
154,0,5,9,4,0,10,736,272,28,1008,4
155,0,5,9,5,0,1,736,272,20,1008,4
156,0,5,9,5,0,10,880,272,29,1152,4
157,0,5,9,6,0,1,880,272,21,1152,4
158,0,5,9,6,0,10,1024,272,30,1296,4
159,0,5,9,7,0,1,1024,272,22,1296,4
160,0,5,13,0,23,0,828,324,41,1152,4
161,0,5,13,0,27,0,972,324,45,1296,4
162,0,5,13,0,31,0,1116,324,49,1440,4
163,0,5,13,2,15,0,828,324,35,1152,4
164,0,5,13,3,11,0,828,324,32,1152,4
165,0,5,13,3,15,0,972,324,36,1296,4
166,0,5,13,4,7,0,828,324,29,1152,4
167,0,5,13,4,11,0,972,324,33,1296,4
168,0,5,13,4,15,0,1116,324,37,1440,4
169,0,5,13,5,3,0,828,324,26,1152,4
170,0,5,13,5,7,0,972,324,30,1296,4
171,0,5,13,5,11,0,1116,324,34,1440,4
172,0,5,13,5,15,0,1260,324,38,1584,4
173,0,5,13,6,3,0,972,324,27,1296,4
174,0,5,13,6,7,0,1116,324,31,1440,4
175,0,5,13,6,11,0,1260,324,35,1584,4
176,0,5,13,7,3,0,1116,324,28,1440,4
177,0,5,13,7,7,0,1260,324,32,1584,4
178,0,5,13,8,3,0,1260,324,29,1584,4
179,0,6,2,0,7,16,508,212,31,720,4
180,0,6,2,0,11,7,508,212,26,720,4
181,0,6,2,0,11,16,652,212,35,864,4
182,0,6,2,0,15,7,652,212,30,864,4
183,0,6,2,0,15,16,796,212,39,1008,4
184,0,6,6,0,14,15,744,264,41,1008,4
185,0,6,14,5,0,13,928,368,38,1296,4
186,0,6,14,6,0,4,928,368,30,1296,4
187,0,6,14,6,0,13,1072,368,39,1440,4
188,0,6,14,7,0,4,1072,368,31,1440,4
189,0,6,14,7,0,13,1216,368,40,1584,4
190,0,6,14,8,0,4,1216,368,32,1584,4
191,0,6,14,8,0,13,1360,368,41,1728,4
192,0,6,14,9,0,4,1360,368,33,1728,4
193,0,6,30,10,0,0,1440,576,46,2016,4
194,0,6,30,11,0,0,1584,576,47,2160,4
195,0,6,30,12,0,0,1728,576,48,2304,4
196,0,6,30,13,0,0,1872,576,49,2448,4
197,0,6,30,14,0,0,2016,576,50,2592,4
198,0,6,30,15,0,0,2160,576,51,2736,4
199,0,6,30,16,0,0,2304,576,52,2880,4
